Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2019",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,257.8,3.0,32.0,50.3,172.4,"1,157.9",174.9,884.6,98.3
"Cape Girardeau, MO-IL M.S.A.",,"96,976",,,,,,,,,
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","40,077",233 ,6 ,24 ,46 ,157 ,"1,432 ",215 ,"1,145 ",72 
,Total area actually reporting,97.8%,370 ,7 ,32 ,46 ,285 ,"2,027 ",378 ,"1,540 ",109 
,Estimated total,100.0%,373 ,7 ,33 ,46 ,287 ,"2,060 ",383 ,"1,566 ",111 
,"Rate per 100,000 inhabitants",,384.6,7.2,34.0,47.4,295.9,"2,124.2",394.9,"1,614.8",114.5
"Carson City, NV M.S.A.",,"55,491", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,193 ,0 ,47 ,11 ,135 ,711 ,152 ,487 ,72 
,"Rate per 100,000 inhabitants",,347.8,0.0,84.7,19.8,243.3,"1,281.3",273.9,877.6,129.8
"Casper, WY M.S.A.",,"79,489", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"57,752",169 ,2 ,58 ,18 ,91 ,"1,677 ",285 ,"1,271 ",121 
,Total area actually reporting,100.0%,227 ,2 ,68 ,25 ,132 ,"1,966 ",370 ,"1,441 ",155 
,"Rate per 100,000 inhabitants",,285.6,2.5,85.5,31.5,166.1,"2,473.3",465.5,"1,812.8",195.0
"Cedar Rapids, IA M.S.A.",,"272,728", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"134,007",345 ,2 ,27 ,83 ,233 ,"4,470 ",837 ,"3,268 ",365 
,Total area actually reporting,99.1%,505 ,2 ,56 ,89 ,358 ,"5,498 ","1,077 ","3,947 ",474 
,Estimated total,100.0%,514 ,2 ,57 ,90 ,365 ,"5,566 ","1,091 ","3,994 ",481 
,"Rate per 100,000 inhabitants",,188.5,0.7,20.9,33.0,133.8,"2,040.9",400.0,"1,464.5",176.4
"Champaign-Urbana, IL M.S.A.",,"226,393",,,,,,,,,
,Includes Champaign and Piatt Counties,, ,,,,,,,,
,City of Champaign,"88,891",827 ,2 ,73 ,94 ,658 ,"2,203 ",300 ,"1,777 ",126 
,City of Urbana,"42,080",124 ,1 ,30 ,36 ,57 ,"1,090 ",161 ,890 ,39 
,Total area actually reporting,99.2%,"1,098 ",3 ,158 ,156 ,781 ,"4,482 ",735 ,"3,533 ",214 
,Estimated total,100.0%,"1,099 ",3 ,158 ,156 ,782 ,"4,507 ",739 ,"3,553 ",215 
,"Rate per 100,000 inhabitants",,485.4,1.3,69.8,68.9,345.4,"1,990.8",326.4,"1,569.4",95.0
"Charleston-North Charleston, SC M.S.A.",,"804,618", ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,"138,254",516 ,8 ,51 ,95 ,362 ,"3,124 ",292 ,"2,335 ",497 
,City of North Charleston,"115,312","1,114 ",26 ,103 ,229 ,756 ,"6,941 ",853 ,"5,123 ",965 
,Total area actually reporting,99.0%,"3,148 ",72 ,328 ,497 ,"2,251 ","21,218 ","3,031 ","15,573 ","2,614 "
,Estimated total,100.0%,"3,202 ",72 ,333 ,502 ,"2,295 ","21,554 ","3,084 ","15,835 ","2,635 "
,"Rate per 100,000 inhabitants",,398.0,8.9,41.4,62.4,285.2,"2,678.8",383.3,"1,968.0",327.5
"Charlottesville, VA M.S.A.",,"219,120", ,,,,, ,,,
,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"48,453",157 ,0 ,32 ,22 ,103 ,"1,124 ",122 ,924 ,78 
,Total area actually reporting,100.0%,385 ,5 ,102 ,38 ,240 ,"3,104 ",314 ,"2,617 ",173 
,"Rate per 100,000 inhabitants",,175.7,2.3,46.5,17.3,109.5,"1,416.6",143.3,"1,194.3",79.0
"Chattanooga, TN-GA M.S.A.3",,"564,924", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA3 and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","181,848","1,946 ",33 ,161 ,196 ,"1,556 ","10,106 ","1,098 ","7,694 ","1,314 "
,Total area actually reporting,97.1%,"2,914 ",36 ,237 ,250 ,"2,391 ","16,071 ","2,098 ","12,059 ","1,914 "
,Estimated total,100.0%,"2,969 ",36 ,242 ,255 ,"2,436 ","16,332 ","2,150 ","12,244 ","1,938 "
,"Rate per 100,000 inhabitants",,525.6,6.4,42.8,45.1,431.2,"2,891.0",380.6,"2,167.4",343.1
"Chico, CA M.S.A.",,"230,749", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"95,826",557 ,0 ,100 ,104 ,353 ,"2,406 ",272 ,"1,753 ",381 
,Total area actually reporting,100.0%,"1,024 ",7 ,180 ,167 ,670 ,"5,322 ","1,111 ","3,343 ",868 
,"Rate per 100,000 inhabitants",,443.8,3.0,78.0,72.4,290.4,"2,306.4",481.5,"1,448.8",376.2
"Cincinnati, OH-KY-IN M.S.A.",,"2,217,647",,,,,,,,,
,"Includes Dearborn, Franklin, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","303,335","2,562 ",64 ,280 ,872 ,"1,346 ","13,051 ","2,765 ","8,935 ","1,351 "
,Total area actually reporting,89.8%,"4,923 ",90 ,872 ,"1,438 ","2,523 ","40,924 ","6,551 ","31,014 ","3,359 "
,Estimated total,100.0%,"5,264 ",92 ,931 ,"1,486 ","2,755 ","43,841 ","7,067 ","33,240 ","3,534 "
,"Rate per 100,000 inhabitants",,237.4,4.1,42.0,67.0,124.2,"1,976.9",318.7,"1,498.9",159.4
"Clarksville, TN-KY M.S.A.",,"309,897", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN","159,996",926 ,14 ,103 ,116 ,693 ,"4,467 ",543 ,"3,457 ",467 
,Total area actually reporting,100.0%,"1,201 ",21 ,150 ,151 ,879 ,"7,005 ","1,145 ","5,176 ",684 
,"Rate per 100,000 inhabitants",,387.5,6.8,48.4,48.7,283.6,"2,260.4",369.5,"1,670.2",220.7
"Cleveland, TN M.S.A.",,"124,685", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"45,453",464 ,2 ,35 ,42 ,385 ,"2,403 ",371 ,"1,845 ",187 
,Total area actually reporting,100.0%,698 ,3 ,52 ,57 ,586 ,"3,564 ",626 ,"2,577 ",361 
,"Rate per 100,000 inhabitants",,559.8,2.4,41.7,45.7,470.0,"2,858.4",502.1,"2,066.8",289.5
"Cleveland-Elyria, OH M.S.A.2, 3",,"2,051,044",,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",, ,,,,,,,,
,City of Cleveland,"381,829","5,791 ",92 ,479 ,"1,895 ","3,325 ","17,057 ","4,311 ","9,968 ","2,778 "
,City of Elyria,"53,806",137 ,4 ,35 ,37 ,61 ,921 ,207 ,665 ,49 
,Total area actually reporting,86.8%,"7,897 ",119 ,748 ,"2,387 ","4,643 ","33,474 ","6,909 ","22,694 ","3,871 "
,Estimated total,100.0%,"8,271 ",122 ,841 ,"2,472 ","4,836 ","37,974 ","7,473 ","26,422 ","4,079 "
,"Rate per 100,000 inhabitants",,403.3,5.9,41.0,120.5,235.8,"1,851.4",364.4,"1,288.2",198.9
"Coeur d'Alene, ID M.S.A.",,"165,319",,,,,,,,,
,Includes Kootenai County,, ,,,,,,,,
,City of Coeur d'Alene,"52,256",132 ,0 ,38 ,8 ,86 ,712 ,83 ,579 ,50 
,Total area actually reporting,100.0%,362 ,1 ,68 ,16 ,277 ,"2,099 ",338 ,"1,627 ",134 
,"Rate per 100,000 inhabitants",,219.0,0.6,41.1,9.7,167.6,"1,269.7",204.5,984.2,81.1
"College Station-Bryan, TX M.S.A.3",,"265,223",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station3,"119,246",225 ,1 ,48 ,43 ,133 ,"2,098 ",391 ,"1,529 ",178 
,City of Bryan,"86,632",370 ,2 ,90 ,57 ,221 ,"1,928 ",336 ,"1,444 ",148 
,Total area actually reporting,99.4%,693 ,5 ,164 ,111 ,413 ,"5,204 ",999 ,"3,798 ",407 
,Estimated total,100.0%,696 ,5 ,164 ,111 ,416 ,"5,228 ","1,004 ","3,814 ",410 
,"Rate per 100,000 inhabitants",,262.4,1.9,61.8,41.9,156.8,"1,971.2",378.5,"1,438.0",154.6
"Colorado Springs, CO M.S.A.",,"747,633", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"479,648","2,806 ",23 ,431 ,485 ,"1,867 ","17,587 ","2,400 ","12,095 ","3,092 "
,Total area actually reporting,98.5%,"3,464 ",33 ,579 ,550 ,"2,302 ","20,970 ","2,945 ","14,380 ","3,645 "
,Estimated total,100.0%,"3,482 ",33 ,582 ,554 ,"2,313 ","21,290 ","2,972 ","14,645 ","3,673 "
,"Rate per 100,000 inhabitants",,465.7,4.4,77.8,74.1,309.4,"2,847.7",397.5,"1,958.8",491.3
"Columbia, MO M.S.A.3",,"209,738", ,,,,, ,,,
,"Includes Boone, Cooper, and Howard3 Counties",,,,,,,,,,
,City of Columbia3,"125,017",401 ,11 ,69 ,74 ,247 ,"3,243 ",499 ,"2,431 ",313 
,Total area actually reporting,99.2%,566 ,14 ,100 ,85 ,367 ,"4,552 ",708 ,"3,390 ",454 
,Estimated total,100.0%,570 ,14 ,101 ,85 ,370 ,"4,577 ",714 ,"3,406 ",457 
,"Rate per 100,000 inhabitants",,271.8,6.7,48.2,40.5,176.4,"2,182.2",340.4,"1,623.9",217.9
"Columbia, SC M.S.A.",,"841,451", ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,"133,790","1,037 ",29 ,88 ,220 ,700 ,"7,027 ",916 ,"5,216 ",895 
,Total area actually reporting,100.0%,"4,909 ",71 ,412 ,696 ,"3,730 ","28,376 ","4,480 ","20,448 ","3,448 "
,"Rate per 100,000 inhabitants",,583.4,8.4,49.0,82.7,443.3,"3,372.3",532.4,"2,430.1",409.8
"Columbus, IN M.S.A.3",,"83,691", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"47,991",67 ,0 ,40 ,17 ,10 ,"1,439 ",130 ,"1,254 ",55 
,Total area actually reporting,100.0%,122 ,0 ,58 ,19 ,45 ,"1,864 ",208 ,"1,559 ",97 
,"Rate per 100,000 inhabitants",,145.8,0.0,69.3,22.7,53.8,"2,227.2",248.5,"1,862.8",115.9
"Columbus, OH M.S.A.",,"2,129,346", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Hocking, Licking, Madison, Morrow, Perry, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus,"906,120","4,561 ",81 ,882 ,"1,810 ","1,788 ","29,974 ","5,809 ","20,606 ","3,559 "
,Total area actually reporting,93.5%,"5,889 ",112 ,"1,284 ","2,088 ","2,405 ","48,501 ","8,551 ","35,380 ","4,570 "
,Estimated total,100.0%,"6,100 ",113 ,"1,327 ","2,127 ","2,533 ","50,897 ","8,890 ","37,326 ","4,681 "
,"Rate per 100,000 inhabitants",,286.5,5.3,62.3,99.9,119.0,"2,390.3",417.5,"1,752.9",219.8
"Corpus Christi, TX M.S.A.3",,"429,610", ,,,,, ,,,
,Includes Nueces and San Patricio Counties,,,,,,,,,,
,City of Corpus Christi3,"329,320","2,616 ",31 ,266 ,496 ,"1,823 ","11,347 ","1,961 ","8,494 ",892 
,Total area actually reporting,99.9%,"3,165 ",35 ,313 ,536 ,"2,281 ","13,605 ","2,443 ","10,112 ","1,050 "
,Estimated total,100.0%,"3,166 ",35 ,313 ,536 ,"2,282 ","13,613 ","2,445 ","10,117 ","1,051 "
,"Rate per 100,000 inhabitants",,736.9,8.1,72.9,124.8,531.2,"3,168.7",569.1,"2,354.9",244.6
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"282,526",,,,,,,,,
,Includes Okaloosa and Walton Counties,,,,,,,,,,
,City of Crestview,"25,152",96 ,3 ,11 ,20 ,62 ,644 ,107 ,478 ,59 
,City of Fort Walton Beach,"22,645",68 ,2 ,18 ,1 ,47 ,475 ,59 ,372 ,44 
,Total area actually reporting,99.7%,882 ,13 ,131 ,64 ,674 ,"4,699 ",631 ,"3,680 ",388 
,Estimated total,100.0%,885 ,13 ,131 ,65 ,676 ,"4,718 ",635 ,"3,694 ",389 
,"Rate per 100,000 inhabitants",,313.2,4.6,46.4,23.0,239.3,"1,669.9",224.8,"1,307.5",137.7
"Cumberland, MD-WV M.S.A.",,"96,806", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","19,321",151 ,0 ,9 ,33 ,109 ,869 ,216 ,627 ,26 
,Total area actually reporting,98.5%,262 ,0 ,27 ,44 ,191 ,"1,729 ",374 ,"1,284 ",71 
,Estimated total,100.0%,266 ,0 ,27 ,44 ,195 ,"1,762 ",381 ,"1,307 ",74 
,"Rate per 100,000 inhabitants",,274.8,0.0,27.9,45.5,201.4,"1,820.1",393.6,"1,350.1",76.4
"Danville, IL M.S.A.",,"75,878", ,,,,, ,,,
,Includes Vermilion County,,,,,,,,,,
,City of Danville,"30,642",536 ,7 ,50 ,65 ,414 ,"1,370 ",341 ,957 ,72 
,Total area actually reporting,100.0%,710 ,7 ,92 ,74 ,537 ,"2,161 ",602 ,"1,453 ",106 
,"Rate per 100,000 inhabitants",,935.7,9.2,121.2,97.5,707.7,"2,848.0",793.4,"1,914.9",139.7
"Davenport-Moline-Rock Island, IA-IL M.S.A.",,"379,899",,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA","102,392",609 ,2 ,84 ,124 ,399 ,"3,918 ",745 ,"2,830 ",343 
,"City of Moline, IL","41,701",219 ,1 ,36 ,26 ,156 ,978 ,190 ,727 ,61 
,"City of Rock Island, IL","37,517",139 ,1 ,14 ,29 ,95 ,878 ,166 ,599 ,113 
,Total area actually reporting,96.7%,"1,367 ",8 ,208 ,208 ,943 ,"8,152 ","1,566 ","5,919 ",667 
,Estimated total,100.0%,"1,392 ",8 ,212 ,211 ,961 ,"8,353 ","1,596 ","6,074 ",683 
,"Rate per 100,000 inhabitants",,366.4,2.1,55.8,55.5,253.0,"2,198.7",420.1,"1,598.8",179.8
"Dayton-Kettering, OH M.S.A.3",,"805,963", ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,"140,427","1,351 ",48 ,200 ,347 ,756 ,"5,673 ","1,533 ","3,393 ",747 
,City of Kettering,"54,974",56 ,1 ,27 ,13 ,15 ,794 ,139 ,604 ,51 
,Total area actually reporting,93.7%,"2,551 ",60 ,487 ,623 ,"1,381 ","16,890 ","3,287 ","12,128 ","1,475 "
,Estimated total,100.0%,"2,647 ",60 ,530 ,641 ,"1,416 ","18,206 ","3,477 ","13,211 ","1,518 "
,"Rate per 100,000 inhabitants",,328.4,7.4,65.8,79.5,175.7,"2,258.9",431.4,"1,639.2",188.3
"Decatur, IL M.S.A.",,"103,506", ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,"70,710",375 ,11 ,52 ,65 ,247 ,"1,954 ",442 ,"1,339 ",173 
,Total area actually reporting,100.0%,434 ,11 ,64 ,71 ,288 ,"2,382 ",520 ,"1,671 ",191 
,"Rate per 100,000 inhabitants", ,419.3,10.6,61.8,68.6,278.2,"2,301.3",502.4,"1,614.4",184.5
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"664,033",,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,"69,834",794 ,13 ,18 ,109 ,654 ,"2,833 ",380 ,"2,213 ",240 
,City of Ormond Beach,"44,005",133 ,1 ,13 ,15 ,104 ,"1,119 ",158 ,894 ,67 
,City of DeLand,"34,468",198 ,4 ,1 ,26 ,167 ,"1,126 ",182 ,873 ,71 
,Total area actually reporting,100.0%,"2,120 ",28 ,136 ,289 ,"1,667 ","11,988 ","1,879 ","9,180 ",929 
,"Rate per 100,000 inhabitants",,319.3,4.2,20.5,43.5,251.0,"1,805.3",283.0,"1,382.5",139.9
"Detroit-Warren-Dearborn, MI M.S.A.",,"4,320,314",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"663,502","13,040 ",275 ,952 ,"2,346 ","9,467 ","28,550 ","6,820 ","14,844 ","6,886 "
,City of Warren,"134,653",648 ,8 ,89 ,83 ,468 ,"2,465 ",569 ,"1,540 ",356 
,City of Dearborn,"93,902",305 ,4 ,36 ,56 ,209 ,"2,104 ",201 ,"1,637 ",266 
,City of Livonia,"93,644",167 ,0 ,22 ,18 ,127 ,"1,411 ",126 ,"1,173 ",112 
,City of Troy,"84,688",67 ,2 ,10 ,8 ,47 ,"1,042 ",70 ,918 ,54 
,City of Farmington Hills,"81,262",87 ,0 ,17 ,7 ,63 ,759 ,145 ,547 ,67 
,City of Southfield,"73,335",200 ,1 ,33 ,45 ,121 ,"1,508 ",358 ,898 ,252 
,City of Taylor,"60,923",378 ,1 ,35 ,41 ,301 ,"1,386 ",242 ,998 ,146 
,City of Pontiac,"59,791",769 ,10 ,66 ,108 ,585 ,"1,300 ",315 ,875 ,110 
,City of Novi,"61,699",48 ,1 ,8 ,2 ,37 ,514 ,21 ,466 ,27 
,Total area actually reporting,100.0%,"22,332 ",363 ,"2,443 ","3,481 ","16,045 ","72,684 ","13,451 ","47,916 ","11,317 "
,"Rate per 100,000 inhabitants",,516.9,8.4,56.5,80.6,371.4,"1,682.4",311.3,"1,109.1",261.9
"Detroit-Dearborn-Livonia, MI M.D.",,"1,741,965",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,100.0%,"17,147 ",313 ,"1,499 ","2,891 ","12,444 ","46,878 ","9,438 ","28,410 ","9,030 "
,"Rate per 100,000 inhabitants",,984.3,18.0,86.1,166.0,714.4,"2,691.1",541.8,"1,630.9",518.4
"Warren-Troy-Farmington Hills, MI M.D.",,"2,578,349",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"5,185 ",50 ,944 ,590 ,"3,601 ","25,806 ","4,013 ","19,506 ","2,287 "
,"Rate per 100,000 inhabitants",,201.1,1.9,36.6,22.9,139.7,"1,000.9",155.6,756.5,88.7
"Dover, DE M.S.A.",,"180,168", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"38,361",334 ,4 ,13 ,49 ,268 ,"2,057 ",82 ,"1,886 ",89 
,Total area actually reporting,100.0%,770 ,6 ,71 ,97 ,596 ,"4,019 ",430 ,"3,380 ",209 
,"Rate per 100,000 inhabitants",,427.4,3.3,39.4,53.8,330.8,"2,230.7",238.7,"1,876.0",116.0
"Dubuque, IA M.S.A.",,"96,742", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"57,973",110 ,0 ,34 ,9 ,67 ,949 ,138 ,747 ,64 
,Total area actually reporting,100.0%,130 ,1 ,42 ,9 ,78 ,"1,103 ",180 ,842 ,81 
,"Rate per 100,000 inhabitants",,134.4,1.0,43.4,9.3,80.6,"1,140.1",186.1,870.4,83.7
"Duluth, MN-WI M.S.A.3",,"288,792", ,,,,, ,,,
,"Includes Carlton, Lake, and St. Louis3 Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN","85,846",292 ,2 ,37 ,69 ,184 ,"3,670 ",481 ,"2,977 ",212 
,Total area actually reporting,100.0%,604 ,4 ,126 ,80 ,394 ,"7,697 ","1,100 ","6,131 ",466 
,"Rate per 100,000 inhabitants",,209.1,1.4,43.6,27.7,136.4,"2,665.2",380.9,"2,123.0",161.4
"Durham-Chapel Hill, NC M.S.A.3",,"644,500", ,,,,, ,,,
,"Includes Chatham, Durham, Granville, Orange and Person Counties3",,,,,,,,,,
,City of Durham3,"280,282","2,046 ",37 ,121 ,626 ,"1,262 ","10,672 ","1,972 ","7,942 ",758 
,City of Chapel Hill3,"61,457",58 ,0 ,10 ,17 ,31 ,926 ,184 ,706 ,36 
,Total area actually reporting,96.7%,"2,752 ",46 ,194 ,730 ,"1,782 ","15,906 ","3,044 ","11,836 ","1,026 "
,Estimated total,100.0%,"2,830 ",47 ,203 ,744 ,"1,836 ","16,639 ","3,183 ","12,392 ","1,064 "
,"Rate per 100,000 inhabitants",,439.1,7.3,31.5,115.4,284.9,"2,581.7",493.9,"1,922.7",165.1
"East Stroudsburg, PA M.S.A.",,"169,228", ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,100.0%,400 ,4 ,64 ,28 ,304 ,"2,551 ",379 ,"2,089 ",83 
,"Rate per 100,000 inhabitants",,236.4,2.4,37.8,16.5,179.6,"1,507.4",224.0,"1,234.4",49.0
"Eau Claire, WI M.S.A.3",,"169,360", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,"69,195",191 ,0 ,58 ,22 ,111 ,"1,634 ",252 ,"1,317 ",65 
,Total area actually reporting,100.0%,363 ,5 ,118 ,26 ,214 ,"2,600 ",423 ,"2,046 ",131 
,"Rate per 100,000 inhabitants",,214.3,3.0,69.7,15.4,126.4,"1,535.2",249.8,"1,208.1",77.4
"El Centro, CA M.S.A.",,"181,194", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"44,303",143 ,3 ,9 ,41 ,90 ,"1,184 ",228 ,861 ,95 
,Total area actually reporting,94.7%,589 ,7 ,28 ,80 ,474 ,"3,476 ",769 ,"2,236 ",471 
,Estimated total,100.0%,615 ,7 ,30 ,83 ,495 ,"3,619 ",806 ,"2,325 ",488 
,"Rate per 100,000 inhabitants",,339.4,3.9,16.6,45.8,273.2,"1,997.3",444.8,"1,283.2",269.3
"Elizabethtown-Fort Knox, KY M.S.A.",,"153,255", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"30,383",49 ,3 ,13 ,15 ,18 ,452 ,140 ,239 ,73 
,Total area actually reporting,100.0%,153 ,6 ,33 ,39 ,75 ,"1,738 ",472 ,"1,045 ",221 
,"Rate per 100,000 inhabitants",,99.8,3.9,21.5,25.4,48.9,"1,134.1",308.0,681.9,144.2
"Elmira, NY M.S.A.",,"83,232", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"26,958",83 ,1 ,0 ,40 ,42 ,831 ,172 ,643 ,16 
,Total area actually reporting,100.0%,178 ,1 ,19 ,45 ,113 ,"1,445 ",238 ,"1,174 ",33 
,"Rate per 100,000 inhabitants",,213.9,1.2,22.8,54.1,135.8,"1,736.1",285.9,"1,410.5",39.6
"El Paso, TX M.S.A.3",,"845,194", ,,,,, ,,,
,Includes El Paso3 and Hudspeth Counties,,,,,,,,,,
,City of El Paso3,"686,793","2,422 ",40 ,310 ,338 ,"1,734 ","10,378 ","1,048 ","8,479 ",851 
,Total area actually reporting,100.0%,"2,816 ",41 ,369 ,363 ,"2,043 ","11,967 ","1,296 ","9,661 ","1,010 "
,"Rate per 100,000 inhabitants",,333.2,4.9,43.7,42.9,241.7,"1,415.9",153.3,"1,143.1",119.5
"Enid, OK M.S.A.",,"60,773", ,,,,, ,,,
,Includes Garfield County,,,,,,,,,,
,City of Enid,"49,598",204 ,1 ,44 ,9 ,150 ,"1,625 ",364 ,"1,148 ",113 
,Total area actually reporting,100.0%,225 ,1 ,47 ,9 ,168 ,"1,812 ",411 ,"1,275 ",126 
,"Rate per 100,000 inhabitants",,370.2,1.6,77.3,14.8,276.4,"2,981.6",676.3,"2,098.0",207.3
"Erie, PA M.S.A.",,"270,606", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"95,834",476 ,9 ,54 ,93 ,320 ,"1,817 ",342 ,"1,379 ",96 
,Total area actually reporting,99.5%,807 ,9 ,118 ,115 ,565 ,"4,311 ",644 ,"3,518 ",149 
,Estimated total,100.0%,809 ,9 ,118 ,115 ,567 ,"4,322 ",645 ,"3,527 ",150 
,"Rate per 100,000 inhabitants",,299.0,3.3,43.6,42.5,209.5,"1,597.2",238.4,"1,303.4",55.4
"Eugene-Springfield, OR M.S.A.4",,"381,434", ,,,,, ,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,"173,183",675 ,2 ,123 ,180 ,370 ,"6,184 ",964 ,"4,614 ",606 
,City of Springfield,"63,438",190 ,1 ,34 ,32 ,123 ,"1,978 ",169 ,"1,640 ",169 
,Total area actually reporting,99.1%,,,180 ,225 ,773 ,"10,372 ","1,493 ","7,880 ",999 
,Estimated total,100.0%,,,181 ,225 ,777 ,"10,440 ","1,499 ","7,938 ","1,003 "
,"Rate per 100,000 inhabitants",,,,47.5,59.0,203.7,"2,737.0",393.0,"2,081.1",263.0
"Evansville, IN-KY M.S.A.",,"315,399", ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,"117,700",721 ,11 ,90 ,153 ,467 ,"4,917 ",588 ,"3,926 ",403 
,Total area actually reporting,91.9%,990 ,17 ,130 ,172 ,671 ,"6,954 ",912 ,"5,455 ",587 
,Estimated total,100.0%,"1,032 ",17 ,133 ,176 ,706 ,"7,199 ",953 ,"5,639 ",607 
,"Rate per 100,000 inhabitants",,327.2,5.4,42.2,55.8,223.8,"2,282.5",302.2,"1,787.9",192.5
"Fairbanks, AK M.S.A.",,"33,604", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"31,493",247 ,3 ,33 ,52 ,159 ,"1,353 ",163 ,"1,006 ",184 
,Total area actually reporting,100.0%,267 ,3 ,39 ,52 ,173 ,"1,491 ",178 ,"1,117 ",196 
,"Rate per 100,000 inhabitants",,794.5,8.9,116.1,154.7,514.8,"4,437.0",529.7,"3,324.0",583.3
"Fargo, ND-MN M.S.A.",,"247,762", ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","127,423",574 ,5 ,111 ,78 ,380 ,"3,978 ",830 ,"2,757 ",391 
,Total area actually reporting,100.0%,735 ,5 ,153 ,105 ,472 ,"5,794 ","1,164 ","4,066 ",564 
,"Rate per 100,000 inhabitants",,296.7,2.0,61.8,42.4,190.5,"2,338.5",469.8,"1,641.1",227.6
"Flagstaff, AZ M.S.A.",,"144,001", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"75,013",367 ,1 ,42 ,43 ,281 ,"2,371 ",140 ,"2,169 ",62 
,Total area actually reporting,100.0%,664 ,8 ,78 ,55 ,523 ,"3,527 ",284 ,"3,118 ",125 
